Vivado Simulator 2019.1
Time resolution is 1 ps
Time: 0 | Counter: x | Feedback: x | Current State: xxxxxxxx | LFSR Output: xxxxxxxx
Time: 5000 | Counter: 0 | Feedback: 1 | Current State: 1234fadc | LFSR Output: xxxxxxxx
Time: 5000 | Counter: 0 | Feedback: 1 | Current State: 1234fadc | LFSR Output: xxxxxxxx
Time: 15000 | Counter: 0 | Feedback: 1 | Current State: 1234fadc | LFSR Output: 1234fadc
Time: 15000 | Counter: 0 | Feedback: 1 | Current State: 1234fadc | LFSR Output: 1234fadc
Time: 25000 | Counter: 1 | Feedback: 0 | Current State: 891a7d6e | LFSR Output: 1234fadc
Time: 25000 | Counter: 1 | Feedback: 0 | Current State: 891a7d6e | LFSR Output: 1234fadc
Time: 35000 | Counter: 2 | Feedback: 0 | Current State: 448d3eb7 | LFSR Output: 891a7d6e
Time: 35000 | Counter: 2 | Feedback: 0 | Current State: 448d3eb7 | LFSR Output: 891a7d6e
Time: 45000 | Counter: 3 | Feedback: 1 | Current State: 22469f5b | LFSR Output: 448d3eb7
Time: 45000 | Counter: 3 | Feedback: 1 | Current State: 22469f5b | LFSR Output: 448d3eb7
Time: 55000 | Counter: 4 | Feedback: 0 | Current State: 91234fad | LFSR Output: 22469f5b
Time: 55000 | Counter: 4 | Feedback: 0 | Current State: 91234fad | LFSR Output: 22469f5b
Time: 65000 | Counter: 5 | Feedback: 0 | Current State: 4891a7d6 | LFSR Output: 91234fad
Time: 65000 | Counter: 5 | Feedback: 0 | Current State: 4891a7d6 | LFSR Output: 91234fad
Time: 75000 | Counter: 6 | Feedback: 0 | Current State: 2448d3eb | LFSR Output: 4891a7d6
Time: 75000 | Counter: 6 | Feedback: 0 | Current State: 2448d3eb | LFSR Output: 4891a7d6
Time: 85000 | Counter: 7 | Feedback: 0 | Current State: 122469f5 | LFSR Output: 2448d3eb
Time: 85000 | Counter: 7 | Feedback: 0 | Current State: 122469f5 | LFSR Output: 2448d3eb
Time: 95000 | Counter: 8 | Feedback: 1 | Current State: 091234fa | LFSR Output: 122469f5
Time: 95000 | Counter: 8 | Feedback: 1 | Current State: 091234fa | LFSR Output: 122469f5
Time: 105000 | Counter: 9 | Feedback: 0 | Current State: 84891a7d | LFSR Output: 091234fa
Time: 105000 | Counter: 9 | Feedback: 0 | Current State: 84891a7d | LFSR Output: 091234fa
Time: 115000 | Counter: 10 | Feedback: 0 | Current State: 42448d3e | LFSR Output: 84891a7d
Time: 115000 | Counter: 10 | Feedback: 0 | Current State: 42448d3e | LFSR Output: 84891a7d
Time: 125000 | Counter: 11 | Feedback: 0 | Current State: 2122469f | LFSR Output: 42448d3e
Time: 125000 | Counter: 11 | Feedback: 0 | Current State: 2122469f | LFSR Output: 42448d3e
Time: 135000 | Counter: 12 | Feedback: 1 | Current State: 1091234f | LFSR Output: 2122469f
Time: 135000 | Counter: 12 | Feedback: 1 | Current State: 1091234f | LFSR Output: 2122469f
Time: 145000 | Counter: 13 | Feedback: 1 | Current State: 884891a7 | LFSR Output: 1091234f
Time: 145000 | Counter: 13 | Feedback: 1 | Current State: 884891a7 | LFSR Output: 1091234f
Time: 155000 | Counter: 14 | Feedback: 1 | Current State: c42448d3 | LFSR Output: 884891a7
Time: 155000 | Counter: 14 | Feedback: 1 | Current State: c42448d3 | LFSR Output: 884891a7
Time: 165000 | Counter: 15 | Feedback: 1 | Current State: e2122469 | LFSR Output: c42448d3
Time: 165000 | Counter: 15 | Feedback: 1 | Current State: e2122469 | LFSR Output: c42448d3
Time: 175000 | Counter: 16 | Feedback: 1 | Current State: f1091234 | LFSR Output: e2122469
Time: 175000 | Counter: 16 | Feedback: 1 | Current State: f1091234 | LFSR Output: e2122469
Time: 185000 | Counter: 17 | Feedback: 0 | Current State: f884891a | LFSR Output: f1091234
Time: 185000 | Counter: 17 | Feedback: 0 | Current State: f884891a | LFSR Output: f1091234
Time: 195000 | Counter: 18 | Feedback: 0 | Current State: 7c42448d | LFSR Output: f884891a
Time: 195000 | Counter: 18 | Feedback: 0 | Current State: 7c42448d | LFSR Output: f884891a
Time: 205000 | Counter: 19 | Feedback: 1 | Current State: 3e212246 | LFSR Output: 7c42448d
Time: 205000 | Counter: 19 | Feedback: 1 | Current State: 3e212246 | LFSR Output: 7c42448d
Time: 215000 | Counter: 20 | Feedback: 0 | Current State: 9f109123 | LFSR Output: 3e212246
Time: 215000 | Counter: 20 | Feedback: 0 | Current State: 9f109123 | LFSR Output: 3e212246
Time: 225000 | Counter: 21 | Feedback: 0 | Current State: 4f884891 | LFSR Output: 9f109123
Time: 225000 | Counter: 21 | Feedback: 0 | Current State: 4f884891 | LFSR Output: 9f109123
Time: 235000 | Counter: 22 | Feedback: 0 | Current State: 27c42448 | LFSR Output: 4f884891
Time: 235000 | Counter: 22 | Feedback: 0 | Current State: 27c42448 | LFSR Output: 4f884891
Time: 245000 | Counter: 23 | Feedback: 1 | Current State: 13e21224 | LFSR Output: 27c42448
Time: 245000 | Counter: 23 | Feedback: 1 | Current State: 13e21224 | LFSR Output: 27c42448
Time: 255000 | Counter: 24 | Feedback: 0 | Current State: 89f10912 | LFSR Output: 13e21224
Time: 255000 | Counter: 24 | Feedback: 0 | Current State: 89f10912 | LFSR Output: 13e21224
Time: 265000 | Counter: 25 | Feedback: 0 | Current State: 44f88489 | LFSR Output: 89f10912
Time: 265000 | Counter: 25 | Feedback: 0 | Current State: 44f88489 | LFSR Output: 89f10912
Time: 275000 | Counter: 26 | Feedback: 0 | Current State: 227c4244 | LFSR Output: 44f88489
Time: 275000 | Counter: 26 | Feedback: 0 | Current State: 227c4244 | LFSR Output: 44f88489
Time: 285000 | Counter: 27 | Feedback: 0 | Current State: 113e2122 | LFSR Output: 227c4244
Time: 285000 | Counter: 27 | Feedback: 0 | Current State: 113e2122 | LFSR Output: 227c4244
Time: 295000 | Counter: 28 | Feedback: 0 | Current State: 089f1091 | LFSR Output: 113e2122
Time: 295000 | Counter: 28 | Feedback: 0 | Current State: 089f1091 | LFSR Output: 113e2122
Time: 305000 | Counter: 29 | Feedback: 0 | Current State: 044f8848 | LFSR Output: 089f1091
Time: 305000 | Counter: 29 | Feedback: 0 | Current State: 044f8848 | LFSR Output: 089f1091
Time: 315000 | Counter: 30 | Feedback: 1 | Current State: 0227c424 | LFSR Output: 044f8848
Time: 315000 | Counter: 30 | Feedback: 1 | Current State: 0227c424 | LFSR Output: 044f8848
Time: 325000 | Counter: 31 | Feedback: 1 | Current State: 8113e212 | LFSR Output: 0227c424
Time: 325000 | Counter: 31 | Feedback: 1 | Current State: 8113e212 | LFSR Output: 0227c424
Time: 335000 | Counter: 32 | Feedback: 1 | Current State: c089f109 | LFSR Output: 8113e212
Time: 335000 | Counter: 32 | Feedback: 1 | Current State: c089f109 | LFSR Output: 8113e212
Time: 345000 | Counter: 32 | Feedback: 1 | Current State: c089f109 | LFSR Output: c089f109
Time: 345000 | Counter: 32 | Feedback: 1 | Current State: c089f109 | LFSR Output: c089f109
Time: 355000 | Counter: 32 | Feedback: 1 | Current State: c089f109 | LFSR Output: c089f109
Time: 355000 | Counter: 32 | Feedback: 1 | Current State: c089f109 | LFSR Output: c089f109
$finish called at time : 360 ns : File "D:/HDL/lab/activecore/designs/rtl/udm/tb/tb.sv" Line 107
